iter	RMSE
324	0.3817336486
325	0.3816736875
326	0.3816204719
327	0.3815588904
328	0.3815226937
329	0.3814837398
330	0.3814138856
331	0.3813280585
332	0.3812707311
333	0.3812390397
334	0.3812055059
335	0.3811541412
336	0.381109406
337	0.3810555347
338	0.3810054411
339	0.3809590119
340	0.3809183325
341	0.3808718745
342	0.3808458119
343	0.3807593805
344	0.380700457
345	0.3806485068
346	0.3806327249
347	0.3805879233
348	0.3805314177
349	0.3804928914
350	0.3804793827
351	0.3804188521
352	0.380348146
353	0.3802970661
354	0.3802516116
355	0.3802367504
356	0.3801663645
357	0.3800883575
358	0.3800733644
359	0.3799843263
360	0.3799428066
361	0.3798957717
362	0.3798300712
363	0.3797441842
364	0.3796780991
365	0.379638152
366	0.3795670685
367	0.3795086508
368	0.3794903222
369	0.379468486
370	0.3794091403
371	0.3793669069
372	0.3793233219
373	0.379266688
374	0.3792370054
375	0.3791949889
376	0.3791165702
377	0.3790884409
378	0.3790581989
379	0.3790157098
380	0.3789491535
381	0.3789143615
382	0.3788693009
383	0.3787869517
384	0.3787423402
385	0.3786833374
386	0.3785838841
387	0.3785404692
388	0.3784784612
389	0.378422014
390	0.3783704961
391	0.3783363125
392	0.3783064383
393	0.3782295704
394	0.3781996262
395	0.3781758349
396	0.3781347159
397	0.3780761851
398	0.3780355123
399	0.3779793538
400	0.3778591127
401	0.3778107094
402	0.3777510887
403	0.377699653
404	0.3776537622
405	0.377619526
406	0.3775576436
407	0.3775093243
408	0.3774435056
409	0.3774031229
410	0.3773582381
411	0.3773204823
412	0.3772498097
413	0.3771972731
414	0.3771469182
415	0.3771273137
416	0.3770474875
417	0.3769999014
418	0.3769346057
419	0.376905931
420	0.3768627897
421	0.3768143878
422	0.3767930385
423	0.376754855
424	0.37667671
425	0.3766041121
426	0.3765580686
427	0.3765273105
428	0.376492886
429	0.3764732943
430	0.3764393705
431	0.3763944081
432	0.3763173199
433	0.3762617925
434	0.3762071508
435	0.3761427105
436	0.3761085234
437	0.3760655495
438	0.3760048207
439	0.3759580851
440	0.3758981095
441	0.375851724
442	0.3757953748
443	0.3757712786
444	0.3757339813
445	0.3756895849
446	0.3756575853
447	0.3756205904
448	0.3755605987
449	0.3755121256
450	0.3754679013
451	0.3754555836
452	0.3753609069
453	0.3753378231
454	0.3753044511
455	0.3752479869
456	0.3751808116
457	0.3751759516
458	0.3751246328
459	0.375075769
460	0.3750330846
461	0.375003731
462	0.3749552163
463	0.3749221595
464	0.3748648797
465	0.3747980098
466	0.3747614866
467	0.3746948084
468	0.3746568514
469	0.3746301231
470	0.3745905982
471	0.3745142578
472	0.374471811
473	0.3744103585
474	0.3743755401
475	0.3743403247
476	0.3743162634
477	0.3742772544
478	0.3741891814
479	0.3741449254
480	0.3741199896
481	0.3741059413
482	0.3740775724
483	0.374050409
484	0.3740330476
485	0.3739976589
486	0.3739537341
487	0.3739121724
488	0.3738783556
489	0.3738580378
490	0.3738420831
491	0.3738157871
492	0.3737976418
493	0.3737714501
494	0.373709131
495	0.3736750834
496	0.3736408901
497	0.3735820129
498	0.3735243302
499	0.3734753142
500	0.373410502
501	0.373376804
502	0.3733588871
503	0.3733171547
504	0.3732706599
505	0.3732340559
506	0.3732182324
507	0.373191386
508	0.3731618249
509	0.3731071721
510	0.3730744801
511	0.3730279975
512	0.3730046834
513	0.3729710007
514	0.3729354375
515	0.3729020613
516	0.3728818383
517	0.372848268
518	0.3728177824
519	0.3727961711
520	0.3727669639
521	0.3727233204
522	0.3727193156
523	0.3726886839
524	0.3725874158
525	0.3725428463
526	0.3724946408
527	0.3724626052
528	0.3724433697
529	0.3723663049
530	0.3723234311
531	0.3722977107
532	0.3722736636
533	0.3722301442
534	0.372218865
535	0.3721988964
536	0.3721823311
537	0.3721572205
538	0.3721309207
539	0.3720905455
540	0.3720662924
541	0.3720511531
542	0.3720096155
543	0.3719614842
544	0.3719236125
545	0.371891335
546	0.3718659669
547	0.3718181749
548	0.3717986679
549	0.3717642129
550	0.3717095023
551	0.3716798569
552	0.3716411072
553	0.3715791257
554	0.3715255653
555	0.3714857562
556	0.371441858
557	0.371391429
558	0.371344496
559	0.3712878085
560	0.3712614326
561	0.3711905933
562	0.3711757313
563	0.3711507744
564	0.3711326014
565	0.3711172631
566	0.3710593441
567	0.371033898
568	0.3710009017
569	0.3709778974
570	0.3709434443
571	0.3709141055
572	0.3708821934
573	0.3708388252
574	0.3708192876
575	0.3707778908
576	0.3707328559
577	0.3706895067
578	0.3706641971
579	0.3706126004
580	0.3705406353
581	0.3704806029
582	0.3704545357
583	0.3704285573
584	0.3703983635
585	0.3703611604
586	0.370311021
587	0.3702824686
588	0.3702309255
589	0.3701849193
590	0.3701635087
591	0.3701329041
592	0.3700915991
593	0.3700562928
594	0.3700236093
595	0.3699613765
596	0.3699230796
597	0.3698955288
598	0.3698707257
599	0.369851831
600	0.3698233109
601	0.3698049207
602	0.3697671581
603	0.369727034
604	0.3696848088
605	0.3696539389
606	0.3696111328
607	0.3695917462
608	0.3695457917
609	0.3695341465
610	0.369515575
611	0.3694974126
612	0.3694821886
613	0.369464075
614	0.3694230741
615	0.3693863304
616	0.3693543769
617	0.3693124297
618	0.3692764029
619	0.3692280238
620	0.369202826
621	0.3691631239
622	0.3691101232
623	0.3690613005
